pi_top,surface,detector,rule,fire,abstain
0.1,honest,dip,naive,0.0,0.0
0.1,honest,dip,2-rung,0.0,0.0
0.1,honest,dip,3-rung,0.0,0.0
0.1,honest,LRT,naive,0.05,0.0
0.1,honest,LRT,2-rung,0.02727272727272727,0.0
0.1,honest,LRT,3-rung,0.031818181818181815,0.0
0.1,honest,dip|LRT,naive,0.05,0.0
0.1,honest,dip|LRT,2-rung,0.02727272727272727,0.0
0.1,honest,dip|LRT,3-rung,0.031818181818181815,0.0
0.1,honest,-,alpha,0.018609539821621515,0.0
0.1,resonant_0.5L,dip,naive,0.04090909090909091,0.0
0.1,resonant_0.5L,dip,2-rung,0.04090909090909091,0.0
0.1,resonant_0.5L,dip,3-rung,0.031818181818181815,0.0
0.1,resonant_0.5L,LRT,naive,1.0,0.0
0.1,resonant_0.5L,LRT,2-rung,0.9954545454545455,0.0
0.1,resonant_0.5L,LRT,3-rung,0.7181818181818181,0.0
0.1,resonant_0.5L,dip|LRT,naive,1.0,0.0
0.1,resonant_0.5L,dip|LRT,2-rung,0.9954545454545455,0.0
0.1,resonant_0.5L,dip|LRT,3-rung,0.7181818181818181,0.0
0.1,resonant_0.5L,-,alpha,0.11586392812776984,0.0
0.1,resonant_1.0L,dip,naive,0.00909090909090909,0.0
0.1,resonant_1.0L,dip,2-rung,0.004545454545454545,0.004545454545454545
0.1,resonant_1.0L,dip,3-rung,0.0,0.0
0.1,resonant_1.0L,LRT,naive,0.9636363636363636,0.0
0.1,resonant_1.0L,LRT,2-rung,0.41818181818181815,0.32727272727272727
0.1,resonant_1.0L,LRT,3-rung,0.06363636363636363,0.00909090909090909
0.1,resonant_1.0L,dip|LRT,naive,0.9636363636363636,0.0
0.1,resonant_1.0L,dip|LRT,2-rung,0.41818181818181815,0.32727272727272727
0.1,resonant_1.0L,dip|LRT,3-rung,0.06363636363636363,0.00909090909090909
0.1,resonant_1.0L,-,alpha,0.8040758137424131,0.00909090909090909
0.1,resonant_1.5L,dip,naive,0.0,0.0
0.1,resonant_1.5L,dip,2-rung,0.0,0.0
0.1,resonant_1.5L,dip,3-rung,0.0,0.0
0.1,resonant_1.5L,LRT,naive,0.75,0.0
0.1,resonant_1.5L,LRT,2-rung,0.2863636363636364,0.09545454545454546
0.1,resonant_1.5L,LRT,3-rung,0.1590909090909091,0.022727272727272728
0.1,resonant_1.5L,dip|LRT,naive,0.75,0.0
0.1,resonant_1.5L,dip|LRT,2-rung,0.2863636363636364,0.09545454545454546
0.1,resonant_1.5L,dip|LRT,3-rung,0.1590909090909091,0.022727272727272728
0.1,resonant_1.5L,-,alpha,0.7233754897486602,0.022727272727272728
0.1,gated,dip,naive,0.0,0.0
0.1,gated,dip,2-rung,0.0,0.0
0.1,gated,dip,3-rung,0.0,0.0
0.1,gated,LRT,naive,0.6045454545454545,0.0
0.1,gated,LRT,2-rung,0.2909090909090909,0.00909090909090909
0.1,gated,LRT,3-rung,0.32727272727272727,0.0
0.1,gated,dip|LRT,naive,0.6045454545454545,0.0
0.1,gated,dip|LRT,2-rung,0.2909090909090909,0.00909090909090909
