theta_deg,dt_ratio,rep,N,axis_true,thr_perm,null_max_med,obs_max_med,fire_perm,fire_boot,ucb_med,correct_axis,t_hat_med,t_err_med,ci_coverage,ci_width_med,n_pool,fire_equiv_5,fire_equiv_10,fire_equiv_15
0.0,1.0,0,25,5,0.9980561660789844,0.8837985837983813,0.8988218081567783,0.06,0.35,66.3288477075472,0.87,3.837211744834166,1.1627882551658342,0.25,4.34649104219068,219,0.0,0.0,0.0166666666666666
0.0,1.0,0,50,5,0.9992833879164652,0.918650038823254,0.91206589057121,0.02,0.5166666666666667,55.040410965722,0.94,3.807013252380796,1.192986747619204,0.0166666666666666,1.7347447405593353,219,0.0,0.0,0.0
0.0,1.0,0,100,5,0.99912828938493,0.9333917727756584,0.9251562285078088,0.005,0.7666666666666667,46.66383029065472,1.0,3.686018071189226,1.3139819288107744,0.0,1.1686084390266962,219,0.0,0.0,0.0
0.0,1.0,0,200,5,0.9998405990080792,0.9796858970231196,0.9263117182373196,0.0,1.0,38.10810932322127,1.0,3.6625357131909606,1.3374642868090394,0.0,0.7924793135732009,219,0.0,0.0,0.0
0.0,1.0,1,25,7,0.9987579593041316,0.7635468613683352,0.8447694150880163,0.06,0.3666666666666666,68.99014113494681,0.86,3.752454359352318,1.2475456406476824,0.3,7.706967550620376,220,0.0,0.0,0.0166666666666666
0.0,1.0,1,50,7,0.9972381165161128,0.810011381877852,0.9163118127183956,0.1,0.3666666666666666,71.60817722318187,0.895,3.5950660337003457,1.404933966299654,0.1,6.504634800228732,220,0.0,0.0,0.0166666666666666
0.0,1.0,1,100,7,0.9943076848931128,0.8026809975397762,0.9705550276926947,0.215,0.5333333333333333,63.033988051641536,0.99,3.5171515327160767,1.4828484672839235,0.0,4.549037896347509,220,0.0,0.0,0.0
0.0,1.0,1,200,7,0.9966666866332904,0.849293192440812,0.9840693384034966,0.15,0.8833333333333333,51.64568427338856,1.0,3.4371706357451988,1.562829364254801,0.0,0.9654754725525532,220,0.0,0.0,0.0
0.0,1.0,2,25,8,0.9979165672556962,0.676656849618781,0.7318075971135942,0.025,0.25,77.5777614545224,0.745,3.335523632361268,1.6644763676387324,0.3333333333333333,6.880840460675316,219,0.0,0.0,0.0
0.0,1.0,2,50,8,0.9971837893345604,0.7481555832380521,0.7971269594821835,0.045,0.3,79.94751499079689,0.785,3.370390955513592,1.6296090444864078,0.1333333333333333,6.11115963504202,219,0.0,0.0,0.0
