pi,sep,dip_med,fire_calibrated,fire_table
0.5,1.5,0.008925437411567238,0.0475,0.0
0.5,2.0,0.0097458382746278,0.12,0.0
0.5,2.5,0.011926869767723104,0.4925,0.055
0.5,3.0,0.021358867499422125,0.99,0.705
0.5,4.0,0.048834375120052634,1.0,1.0
0.5,5.0,0.07430576571288068,1.0,1.0
0.5,6.0,0.09411689418504673,1.0,1.0
0.5,7.0,0.11005561669737064,1.0,1.0
0.35,1.5,0.008824879159562218,0.075,0.0
0.35,2.0,0.008723369897057166,0.0525,0.0
0.35,2.5,0.00900008845899334,0.055,0.0
0.35,3.0,0.011106942021800043,0.4075,0.0425
0.35,4.0,0.02972509726914737,1.0,0.99
0.35,5.0,0.04888447536444659,1.0,1.0
0.35,6.0,0.06464043024146099,1.0,1.0
0.35,7.0,0.07674579369988484,1.0,1.0
0.25,1.5,0.008660099159758215,0.0375,0.0
0.25,2.0,0.0085056356721081,0.025,0.0
0.25,2.5,0.008249111089187178,0.0275,0.0
0.25,3.0,0.00863476233879545,0.0475,0.0
0.25,4.0,0.018265913616087297,0.9625,0.44
0.25,5.0,0.032461349632646214,1.0,1.0
0.25,6.0,0.04460438293497458,1.0,1.0
0.25,7.0,0.05389014830369539,1.0,1.0
0.1,1.5,0.008645860071136236,0.05,0.0
0.1,2.0,0.008331164931847122,0.0375,0.0
0.1,2.5,0.008265500582106622,0.025,0.0
0.1,3.0,0.008372963806793879,0.02,0.0
0.1,4.0,0.00843435509390033,0.03,0.0
0.1,5.0,0.011798914147323158,0.4825,0.0
0.1,6.0,0.017129804773924274,0.9825,0.2225
0.1,7.0,0.021005676038473704,1.0,0.8
0.05,1.5,0.008704872341152609,0.0425,0.0
0.05,2.0,0.00876693996878549,0.0575,0.0
0.05,2.5,0.008353611197305395,0.025,0.0
0.05,3.0,0.008539510133812966,0.04,0.0
0.05,4.0,0.008476083957675256,0.0575,0.0
0.05,5.0,0.008699604145100893,0.0275,0.0
0.05,6.0,0.009405119082342497,0.0575,0.0
0.05,7.0,0.010906192558598638,0.285,0.0
