sigma,dip_p,delta_hat,pi_cross,d_hat,pi_true,w_min,model,tau_obs,anchor,d_true,side
0.02,0.0,0.2946826486447407,0.387,0.005742933886294908,0.373,0.387000000000001,gated,0.005,0.495,0.005,-1
0.0632455532033676,0.0,0.28441748576996373,0.469,0.004919482095242298,0.449,0.469000000000001,gated,0.005,0.495,0.005,-1
0.2,0.0,0.25219746018049427,0.516999999999673,-0.008525117035224811,0.5,0.48300000000032794,gated,0.005,0.495,0.005,-1
0.02,0.0,0.2953661212334463,0.428,0.0036293663305695385,0.39,0.42800000000000105,gated,0.005,0.505,0.005,1
0.0632455532033676,0.0,0.2845847512168126,0.481,0.00301326835113775,0.44599999999999995,0.48100000000000104,gated,0.005,0.505,0.005,1
0.2,0.0,0.25421824621749456,0.46899999984196794,0.01555676840884859,0.488,0.468999999841969,gated,0.005,0.505,0.005,1
0.02,0.0,0.2952640119118015,0.387,0.005742933886294908,0.358,0.387000000000001,gated,0.005,0.49256410256410255,0.0074358974358974365,-1
0.0632455532033676,0.0,0.2853609677698208,0.47,0.004760484068044934,0.425,0.47000000000000103,gated,0.005,0.49256410256410255,0.0074358974358974365,-1
0.2,0.0,0.2542036977828208,0.498,0.0010026555097853314,0.48,0.498000000000001,gated,0.005,0.49256410256410255,0.0074358974358974365,-1
0.02,0.0,0.2953533682302112,0.356,0.007383427250061795,0.37,0.35600000000000104,gated,0.005,0.5074358974358975,0.0074358974358974365,1
0.0632455532033676,0.0,0.2840716011861825,0.466,0.0053966668367182915,0.44899999999999995,0.466000000000001,gated,0.005,0.5074358974358975,0.0074358974358974365,1
0.2,0.0,0.25392862767355806,0.508,-0.004010874070590128,0.489,0.49200000000000105,gated,0.005,0.5074358974358975,0.0074358974358974365,1
0.02,0.0,0.294406429711196,0.297,0.010660970218058181,0.315,0.29700000000000104,gated,0.005,0.49012820512820515,0.009871794871794872,-1
0.0632455532033676,0.0,0.28449678999851524,0.451,0.007787756861823452,0.45,0.451000000000001,gated,0.005,0.49012820512820515,0.009871794871794872,-1
0.2,0.0,0.252544681552459,0.496,0.002005336220054953,0.484,0.496000000000001,gated,0.005,0.49012820512820515,0.009871794871794872,-1
0.02,0.0,0.294488409015932,0.307,0.010087439724767633,0.34299999999999997,0.30700000000000105,gated,0.005,0.5098717948717949,0.009871794871794872,1
0.0632455532033676,0.0,0.28442939126187977,0.456,0.00698965843221731,0.406,0.456000000000001,gated,0.005,0.5098717948717949,0.009871794871794872,1
0.2,0.0,0.2518876303401769,0.484,0.008023362036993621,0.478,0.48400000000000104,gated,0.005,0.5098717948717949,0.009871794871794872,1
0.02,0.0,0.2946037902749263,0.271,0.012195827973481599,0.286,0.271000000000001,gated,0.005,0.4876923076923077,0.012307692307692308,-1
0.0632455532033676,0.0,0.2853192872187533,0.414,0.013741193765401026,0.42,0.41400000000000103,gated,0.005,0.4876923076923077,0.012307692307692308,-1
0.2,0.0,0.254093157482482,0.46100000000000035,0.019582946842299706,0.465,0.46100000000000135,gated,0.005,0.4876923076923077,0.012307692307692308,-1
0.02,0.0,0.2952910406941692,0.253,0.01330157892351847,0.272,0.253000000000001,gated,0.005,0.5123076923076924,0.012307692307692308,1
0.0632455532033676,0.0,0.2850458178398829,0.42,0.012768864776478915,0.45399999999999996,0.42000000000000104,gated,0.005,0.5123076923076924,0.012307692307692308,1
0.2,0.0,0.2519310457778956,0.47999999999999876,0.010030716692947347,0.492,0.47999999999999976,gated,0.005,0.5123076923076924,0.012307692307692308,1
0.02,0.0,0.2952274294846483,0.218,0.015579311286950904,0.231,0.218000000000001,gated,0.005,0.48525641025641025,0.014743589743589743,-1
0.0632455532033676,0.0,0.2842378885036412,0.396,0.016678763003213845,0.418,0.396000000000001,gated,0.005,0.48525641025641025,0.014743589743589743,-1
0.2,0.0,0.25466431101737974,0.461,0.019582946842299873,0.465,0.461000000000001,gated,0.005,0.48525641025641025,0.014743589743589743,-1
0.02,0.0,0.29556022660105197,0.207,0.016337495310003274,0.242,0.207000000000001,gated,0.005,0.5147435897435897,0.014743589743589743,1
0.0632455532033676,0.0,0.2843774131982586,0.432,0.010832988392447892,0.4,0.43200000000000105,gated,0.005,0.5147435897435897,0.014743589743589743,1
0.2,0.0,0.25423922374260355,0.468,0.01605966257841098,0.45399999999999996,0.468000000000001,gated,0.005,0.5147435897435897,0.014743589743589743,1
0.02,0.0,0.29393105056007823,0.182,0.018155390597361112,0.195,0.182000000000001,gated,0.005,0.4828205128205128,0.01717948717948718,-1
0.0632455532033676,0.0,0.2842424071392064,0.389,0.017830586677328644,0.378,0.389000000000001,gated,0.005,0.4828205128205128,0.01717948717948718,-1
0.2,0.0,0.2507136672398568,0.46500000000007113,0.017568967579138547,0.496,0.46500000000007213,gated,0.005,0.4828205128205128,0.01717948717948718,-1
0.02,0.0,0.29429743261103614,0.193,0.01733788333272876,0.19399999999999995,0.193000000000001,gated,0.005,0.5171794871794871,0.01717948717948718,1
0.0632455532033676,0.0,0.2846322761139032,0.385,0.018491412054641426,0.389,0.385000000000001,gated,0.005,0.5171794871794871,0.01717948717948718,1
0.2,0.0,0.2518227331192079,0.4640000000111534,0.018072287420237393,0.488,0.4640000000111544,gated,0.005,0.5171794871794871,0.01717948717948718,1
0.02,0.0,0.29475992649165883,0.162,0.01972542597404476,0.169,0.162000000000001,gated,0.005,0.4803846153846154,0.019615384615384618,-1
0.0632455532033676,0.0,0.2838378059561802,0.369,0.021155829586792286,0.367,0.36900000000000105,gated,0.005,0.4803846153846154,0.019615384615384618,-1
0.2,0.0,0.25118934153881195,0.476,0.012039082345791327,0.484,0.47600000000000103,gated,0.005,0.4803846153846154,0.019615384615384618,-1
0.02,0.0,0.2946908734579824,0.18,0.01830730175685628,0.16400000000000003,0.180000000000001,gated,0.005,0.5196153846153846,0.019615384615384618,1
