D,strategy,n_det,power,fp_honest,queries
2,coord_scan,100,1.0,0.0,6000
2,iso_coord,100,1.0,0.0,3000
2,iso_resid,100,0.03,0.0,3000
2,iso_resid_rob,100,0.76,0.0,3000
2,iso_total,100,1.0,0.0,3000
4,coord_scan,100,1.0,0.0,12000
4,iso_coord,100,0.98,0.0,3000
4,iso_resid,100,0.05,0.0,3000
4,iso_resid_rob,100,0.75,0.0,3000
4,iso_total,100,0.95,0.0,3000
8,coord_scan,100,1.0,0.0,24000
8,iso_coord,100,0.8,0.0,3000
8,iso_resid,100,0.01,0.0,3000
8,iso_resid_rob,100,0.74,0.0,3000
8,iso_total,78,0.8333333333333334,0.0,3000
16,coord_scan,100,1.0,0.0,48000
16,iso_coord,100,0.55,0.0,3000
16,iso_resid,100,0.02,0.0,3000
16,iso_resid_rob,100,0.74,0.0,3000
16,iso_total,56,0.8571428571428571,0.0,3000
