V,theta,strategy,power,dnorm,dcos,fp_honest
3,0,axes_bonf,0.0,,,0.0
3,0,pc1,0.0,,,0.0
3,0,pc2_bonf,0.0,,,0.0
3,0,rand8_bonf,0.0,,,0.0
3,30,axes_bonf,1.0,0.30005781408925447,0.999961338388592,0.0
3,30,pc1,0.0,,,0.0
3,30,pc2_bonf,1.0,0.1754278623434353,0.9995348626624461,0.0
3,30,rand8_bonf,0.9666666666666667,0.28005393341400364,0.9997785619021876,0.0
3,60,axes_bonf,1.0,0.30053975649386033,0.9999558007295937,0.0
3,60,pc1,0.6166666666666667,0.0741112938886421,0.996212442174728,0.0
3,60,pc2_bonf,0.6666666666666666,0.16239539200360845,0.9999588649152864,0.0
3,60,rand8_bonf,1.0,0.2980257254377272,0.9999260994468839,0.0
3,90,axes_bonf,1.0,0.2992062196503954,0.9999582518662494,0.0
3,90,pc1,1.0,0.2966768266917917,0.9999393848642915,0.0
3,90,pc2_bonf,1.0,0.2975510512481356,0.9999354835513788,0.0
3,90,rand8_bonf,1.0,0.29944178768775054,0.9999447404012646,0.0
8,90,pc1,1.0,0.2976953717022779,0.9997368249924522,0.0
8,90,pc2_bonf,1.0,0.2951937695834917,0.9997262919630578,0.0
8,90,rand8_bonf,1.0,0.2977143714317392,0.9997513599695471,0.0
