kappa,surface,anchor,sigma_top,n_estimable,n_fire,alpha,fire_top,fire_mid,fire_deep,pi_top,pi_deep,gap_top,gap_deep,dos_top,dos_deep
0.78,gated_dt1.95,0,0.1999220442249576,0,0,,False,False,False,0.433732827939148,0.3737330607080049,0.0109844740488043,0.0198839626055437,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,1,0.1999220442249576,0,0,,False,False,False,0.3398970650860126,0.3802648007679174,0.0153746290684196,0.025798757380109,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,2,0.1999220442249576,1,1,,False,True,False,0.4180772928895094,0.2907746678669463,0.0153321032321876,0.0228400292093893,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,3,0.1999220442249576,0,0,,False,False,False,0.2961696922056298,0.3103006064973055,0.0222461633089481,0.0223021179783908,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,4,0.1999220442249576,0,0,,False,False,False,0.251646677021668,0.309543510348382,0.0251133862056566,0.0150507325417945,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,5,0.1999220442249576,0,0,,False,False,False,0.3810247497317849,0.3865920079004064,0.0165898224338663,0.0201306771623562,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,6,0.1999220442249576,0,0,,False,False,False,0.1392938281641423,0.4275772573625289,0.0281743072124708,0.0114240946701741,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,7,0.1999220442249576,1,1,,True,False,False,0.1955182263656755,0.3656603299089442,0.0306098181080239,0.0129421894158637,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,8,0.1999220442249576,1,1,,True,False,False,0.1714165708598445,0.2642588451686388,0.0293723954381673,0.0242443604621741,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,9,0.1999220442249576,0,0,,False,False,False,0.2308349110366223,0.399832924152251,0.0252122028410003,0.0193044769524362,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,10,0.1999220442249576,1,1,,False,True,False,0.3134765277714711,0.4306890127869177,0.0106205636450476,0.0156078448706135,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,11,0.1999220442249576,0,0,,False,False,False,0.2854729631310845,0.2085243612072161,0.0230940713762271,0.0235379254992789,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,12,0.1999220442249576,0,0,,False,False,False,0.3571893779994497,0.3823374693967774,0.0178037071157729,0.0219881102889339,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,13,0.1999220442249576,1,1,,True,False,False,0.2386647473257181,0.4072529764171995,0.0299984828352219,0.0245602278928447,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,14,0.1999220442249576,1,1,,True,False,False,0.1149786056801337,0.4229605957636228,0.0306815175497046,0.0255521463630298,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,15,0.1999220442249576,1,1,,True,False,False,0.2417267320845632,0.3880011594413159,0.0311019884025649,0.0201814094581,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,16,0.1999220442249576,1,1,,False,True,False,0.2957824052225919,0.4329586353958706,0.0271881033063507,0.0210160078660148,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,17,0.1999220442249576,0,0,,False,False,False,0.4569885032792688,0.2600610700196833,0.0145792001049312,0.0177265138123372,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,18,0.1999220442249576,0,0,,False,False,False,0.3352094693472015,0.1526425092993981,0.0256093764572733,0.0207821588733202,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,19,0.1999220442249576,0,0,,False,False,False,0.2122215530910172,0.4983075088199969,0.0236037182298615,0.0002039641884736,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,20,0.1999220442249576,0,0,,False,False,False,0.4278410087127248,0.4849973748239944,0.0088385242425881,0.0057189070152887,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,21,0.1999220442249576,0,0,,False,False,False,0.3898676625028361,0.3113572818059888,0.0199853721741851,0.021313580250932,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,22,0.1999220442249576,0,0,,False,False,False,0.2146561501985563,0.3260209408847517,0.0190193741607913,0.0136962349756224,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,23,0.1999220442249576,0,0,,False,False,False,0.2309156037849145,0.4990359402291924,0.0266593394555046,0.0236013496830535,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,24,0.1999220442249576,1,1,,True,False,False,0.2194334378840163,0.4851752014758019,0.0263248153138428,0.0220513629196159,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,25,0.1999220442249576,2,2,-0.1883131892602327,True,True,False,0.2758329050689616,0.4982597227800587,0.0290275475237409,0.0011411911870349,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,26,0.1999220442249576,0,0,,False,False,False,0.4607969211284257,0.410269588126559,0.0063132747796759,0.0199696796951498,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,27,0.1999220442249576,1,1,,True,False,False,0.2034657994300707,0.3938123309880461,0.0306273973049572,0.02194691203922,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,28,0.1999220442249576,1,1,,False,False,True,0.1914361090831638,0.3303541227460906,0.0248076817116175,0.0262432140734657,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,29,0.1999220442249576,0,0,,False,False,False,0.4546934346646024,0.3482406487064132,0.0204515548694226,0.0178098519328167,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,30,0.1999220442249576,0,0,,False,False,False,0.2179205370447862,0.4827798194276806,0.0253913136075395,0.0098671345679578,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,31,0.1999220442249576,0,0,,False,False,False,0.4777030616879784,0.494775076011346,0.006716425717851,0.0002671471762055,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,32,0.1999220442249576,0,0,,False,False,False,0.2542252976554913,0.3433192608018077,0.0153610378710436,0.0120886950413782,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,33,0.1999220442249576,0,0,,False,False,False,0.3194211601126179,0.2700438452096953,0.0231500878369361,0.0196739571545985,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,34,0.1999220442249576,0,0,,False,False,False,0.3215028058707754,0.3897620674055682,0.0211328078517023,0.0161465849108475,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,35,0.1999220442249576,1,1,,False,True,False,0.1360014103316504,0.4935764871129623,0.0272736561761295,0.0015739535050538,1.282051282051282,5.128205128205128
0.78,gated_dt1.95,36,0.1999220442249576,1,1,,False,False,True,0.3389155813567475,0.2411783647188403,0.0187773824497394,0.024797541632973,1.282051282051282,5.128205128205128
