dt_ratio,pi_target,placement,N,estimator,null,power,fp,orient_err,offset_err
1.0,0.05,design,5,A,honest,0.04,0.05,,
1.0,0.05,design,5,A,perm,0.0833333333333333,0.05,,
1.0,0.05,design,5,B,honest,0.0366666666666666,0.0266666666666666,,
1.0,0.05,design,5,B,perm,0.0366666666666666,0.0266666666666666,,
1.0,0.05,design,5,C,honest,0.0866666666666666,0.05,,
1.0,0.05,design,5,C,perm,0.0566666666666666,0.05,,
1.0,0.05,design,5,point,-,,,42.989882445172114,0.2552413241194226
1.0,0.05,design,10,A,honest,0.0433333333333333,0.05,,
1.0,0.05,design,10,A,perm,0.03,0.05,,
1.0,0.05,design,10,B,honest,0.0733333333333333,0.05,,
1.0,0.05,design,10,B,perm,0.0533333333333333,0.05,,
1.0,0.05,design,10,C,honest,0.0866666666666666,0.05,,
1.0,0.05,design,10,C,perm,0.0666666666666666,0.05,,
1.0,0.05,design,10,point,-,,,49.91407102925454,0.1594219605305114
1.0,0.05,design,25,A,honest,0.0933333333333333,0.05,,
1.0,0.05,design,25,A,perm,0.0766666666666666,0.05,,
1.0,0.05,design,25,B,honest,0.1666666666666666,0.05,,
1.0,0.05,design,25,B,perm,0.0933333333333333,0.05,,
1.0,0.05,design,25,C,honest,0.1033333333333333,0.05,,
1.0,0.05,design,25,C,perm,0.0633333333333333,0.05,,
1.0,0.05,design,25,point,-,,,46.04366575866187,0.1152312096690067
1.0,0.05,design,50,A,honest,0.0633333333333333,0.05,,
1.0,0.05,design,50,A,perm,0.0333333333333333,0.05,,
1.0,0.05,design,50,B,honest,0.09,0.05,,
1.0,0.05,design,50,B,perm,0.0533333333333333,0.05,,
1.0,0.05,design,50,C,honest,0.21,0.05,,
1.0,0.05,design,50,C,perm,0.04,0.05,,
1.0,0.05,design,50,point,-,,,49.31489507484552,0.0854029177385546
1.0,0.05,design,100,A,honest,0.0833333333333333,0.05,,
1.0,0.05,design,100,A,perm,0.0466666666666666,0.05,,
1.0,0.05,design,100,B,honest,0.2733333333333333,0.05,,
1.0,0.05,design,100,B,perm,0.0366666666666666,0.05,,
1.0,0.05,design,100,C,honest,0.2833333333333333,0.05,,
1.0,0.05,design,100,C,perm,0.0233333333333333,0.05,,
1.0,0.05,design,100,point,-,,,50.13764665410214,0.0568026666038241
1.0,0.1,design,5,A,honest,0.09,0.05,,
1.0,0.1,design,5,A,perm,0.07,0.05,,
1.0,0.1,design,5,B,honest,0.0466666666666666,0.0233333333333333,,
1.0,0.1,design,5,B,perm,0.0466666666666666,0.0233333333333333,,
1.0,0.1,design,5,C,honest,0.08,0.05,,
1.0,0.1,design,5,C,perm,0.08,0.05,,
1.0,0.1,design,5,point,-,,,40.22850504807554,0.2329031065590054
1.0,0.1,design,10,A,honest,0.0866666666666666,0.05,,
1.0,0.1,design,10,A,perm,0.0666666666666666,0.05,,
1.0,0.1,design,10,B,honest,0.0533333333333333,0.05,,
1.0,0.1,design,10,B,perm,0.0566666666666666,0.05,,
1.0,0.1,design,10,C,honest,0.0866666666666666,0.05,,
1.0,0.1,design,10,C,perm,0.06,0.05,,
1.0,0.1,design,10,point,-,,,34.837041205227834,0.2009904903593785
1.0,0.1,design,25,A,honest,0.0633333333333333,0.05,,
1.0,0.1,design,25,A,perm,0.0266666666666666,0.05,,
1.0,0.1,design,25,B,honest,0.06,0.05,,
1.0,0.1,design,25,B,perm,0.0366666666666666,0.05,,
1.0,0.1,design,25,C,honest,0.12,0.05,,
1.0,0.1,design,25,C,perm,0.0933333333333333,0.05,,
