target,anchor,r_frac,d_hat,sigma_per_coord,frac_real,crosses,n_resp_vals,gap
housing,433,0.02,7,0.013456494070932405,1.0,False,111,
housing,433,0.05,7,0.03364123517733101,1.0,False,225,
housing,433,0.1,7,0.06728247035466202,1.0,False,273,
housing,433,0.2,7,0.13456494070932404,1.0,False,295,
housing,433,0.35,7,0.23548864624131707,0.9866666666666667,False,300,
housing,433,0.5,7,0.33641235177331014,0.9533333333333334,True,300,
housing,433,0.75,7,0.5046185276599652,0.8566666666666667,True,300,0.04440406488299953
housing,433,1.0,7,0.6728247035466203,0.8566666666666667,True,300,0.04199424873443913
housing,1318,0.02,6,0.010899523831982507,1.0,False,67,
housing,1318,0.05,6,0.02724880957995627,1.0,False,172,
housing,1318,0.1,6,0.05449761915991254,1.0,False,253,
housing,1318,0.2,6,0.10899523831982508,1.0,False,294,
housing,1318,0.35,6,0.19074166705969386,1.0,False,299,
housing,1318,0.5,6,0.2724880957995627,1.0,False,299,
housing,1318,0.75,6,0.408732143699344,1.0,False,300,
housing,1318,1.0,6,0.5449761915991254,1.0,False,300,
housing,1297,0.02,6,0.009818112225136188,1.0,False,58,
housing,1297,0.05,6,0.02454528056284047,1.0,False,144,
housing,1297,0.1,6,0.04909056112568094,1.0,False,249,
housing,1297,0.2,6,0.09818112225136189,1.0,False,296,
housing,1297,0.35,6,0.17181696393988327,1.0,False,300,
housing,1297,0.5,6,0.24545280562840469,1.0,False,300,
housing,1297,0.75,6,0.36817920844260704,1.0,False,300,
housing,1297,1.0,6,0.49090561125680937,0.9633333333333334,True,300,
housing,601,0.02,7,0.009359995365735943,1.0,False,47,
housing,601,0.05,7,0.023399988414339858,1.0,False,141,
housing,601,0.1,7,0.046799976828679715,1.0,False,263,
housing,601,0.2,7,0.09359995365735943,1.0,False,297,
housing,601,0.35,7,0.16379991890037895,1.0,False,300,
housing,601,0.5,7,0.23399988414339853,1.0,False,300,
housing,601,0.75,7,0.3509998262150978,1.0,False,300,
housing,601,1.0,7,0.46799976828679707,1.0,False,300,
housing,2819,0.02,7,0.02054337100073083,1.0,False,114,
housing,2819,0.05,7,0.05135842750182708,0.8666666666666667,True,272,0.12063550123801559
housing,2819,0.1,7,0.10271685500365416,0.72,True,295,0.14501750311523587
housing,2819,0.2,7,0.2054337100073083,0.6966666666666667,True,300,0.15229730061022018
housing,2819,0.35,7,0.3595089925127895,0.5866666666666667,True,300,0.15585322516404965
housing,2819,0.5,7,0.5135842750182708,0.5433333333333333,True,300,0.14886001297621565
housing,2819,0.75,7,0.7703764125274061,0.5733333333333334,True,300,0.09877269921261256
housing,2819,1.0,7,1.0271685500365415,0.52,True,300,0.10420625123203298
housing,2830,0.02,5,0.009230173958732057,1.0,False,119,
housing,2830,0.05,5,0.023075434896830144,1.0,False,263,
housing,2830,0.1,5,0.04615086979366029,1.0,False,288,
housing,2830,0.2,5,0.09230173958732057,1.0,False,295,
housing,2830,0.35,5,0.16152804427781098,1.0,False,299,
housing,2830,0.5,5,0.2307543489683014,1.0,False,298,
housing,2830,0.75,5,0.34613152345245213,0.99,False,299,
housing,2830,1.0,5,0.4615086979366028,0.9666666666666667,True,300,
housing,2154,0.02,6,0.01779673998075099,1.0,False,157,
housing,2154,0.05,6,0.04449184995187747,1.0,False,265,
housing,2154,0.1,6,0.08898369990375495,1.0,False,290,
housing,2154,0.2,6,0.1779673998075099,0.9233333333333333,True,298,0.10095699906367894
housing,2154,0.35,6,0.3114429496631423,0.8033333333333333,True,300,0.0992380413914189
housing,2154,0.5,6,0.44491849951877477,0.7166666666666667,True,300,0.072478514200359
housing,2154,0.75,6,0.6673777492781622,0.64,True,300,0.06999250611773267
housing,2154,1.0,6,0.8898369990375495,0.64,True,299,0.07747059089166086
housing,75,0.02,7,0.009656264942154612,1.0,False,22,
housing,75,0.05,7,0.02414066235538653,1.0,False,112,
housing,75,0.1,7,0.04828132471077306,1.0,False,235,
housing,75,0.2,7,0.09656264942154612,1.0,False,299,
housing,75,0.35,7,0.1689846364877057,1.0,False,300,
housing,75,0.5,7,0.2414066235538653,1.0,False,300,
housing,75,0.75,7,0.36210993533079794,1.0,False,300,
housing,75,1.0,7,0.4828132471077306,0.9933333333333333,False,300,
housing,56,0.02,7,0.019806598340807422,1.0,False,159,
housing,56,0.05,7,0.049516495852018554,1.0,False,244,
housing,56,0.1,7,0.09903299170403711,0.98,True,295,
housing,56,0.2,7,0.19806598340807421,0.8366666666666667,True,300,0.03221930243230542
housing,56,0.35,7,0.34661547096412987,0.7466666666666667,True,300,0.03219357838756132
housing,56,0.5,7,0.49516495852018555,0.64,True,300,0.039120237032572724
housing,56,0.75,7,0.7427474377802783,0.63,True,300,0.04800555396792561
housing,56,1.0,7,0.9903299170403711,0.5366666666666666,True,300,0.037196779044417205
housing,2469,0.02,6,0.008844639196112282,1.0,False,56,
housing,2469,0.05,6,0.02211159799028071,1.0,False,162,
housing,2469,0.1,6,0.04422319598056142,1.0,False,268,
housing,2469,0.2,6,0.08844639196112283,1.0,False,293,
housing,2469,0.35,6,0.15478118593196494,1.0,False,298,
housing,2469,0.5,6,0.22111597990280707,1.0,False,297,
housing,2469,0.75,6,0.33167396985421066,1.0,False,300,
housing,2469,1.0,6,0.44223195980561414,1.0,False,300,
housing,1514,0.02,7,0.011402338414205206,1.0,False,119,
housing,1514,0.05,7,0.02850584603551302,1.0,False,269,
housing,1514,0.1,7,0.05701169207102604,1.0,False,296,
housing,1514,0.2,7,0.11402338414205208,1.0,False,300,
housing,1514,0.35,7,0.1995409222485911,1.0,False,300,
housing,1514,0.5,7,0.28505846035513016,1.0,False,300,
housing,1514,0.75,7,0.4275876905326952,1.0,False,300,
housing,1514,1.0,7,0.5701169207102603,0.9866666666666667,False,300,
housing,961,0.02,7,0.010101540986616829,1.0,False,34,
housing,961,0.05,7,0.025253852466542073,1.0,False,79,
housing,961,0.1,7,0.050507704933084145,1.0,False,156,
housing,961,0.2,7,0.10101540986616829,1.0,False,274,
housing,961,0.35,7,0.1767769672657945,1.0,False,296,
housing,961,0.5,7,0.25253852466542076,1.0,False,300,
