anchor,d_hat,r,s5_audit_frac_real,s5_lime_frac_real,s3_rho,straddles,s1b_forced_gap,n_response_values,s1_delta,s1_sd,s1_ratio,target,s4_detector_leakage,detector_acc,continuous_response
2637,6,1.1994256480768657,0.9925,0.0,1.0,False,0.08080673217773438,400,,,,housing,0.0,1.0,True
377,6,4.692814398194152,0.385,0.0,0.9425,True,0.11990213394165039,386,0.1461417539181893,0.0896040087420042,1.6309733902528132,housing,0.0,1.0,True
103,6,1.0220704090197268,0.9875,0.0,0.9975,False,0.2597169876098633,400,,,,housing,0.0,1.0,True
2245,6,1.6325439223998868,0.4,0.0,1.0,True,0.04066944122314453,399,0.11204230785369873,0.04557855790201752,2.458224064362932,housing,0.0,1.0,True
552,6,2.6042293809500023,0.1575,0.0,0.9625,True,0.21608304977416992,400,0.03098254679712653,0.05266563428476789,0.5882877367355166,housing,0.0,1.0,True
1840,6,1.2446122507958854,0.9975,0.0,1.0,False,0.14896106719970703,400,,,,housing,0.0,1.0,True
1618,6,1.4445240015499297,0.9225,0.0,1.0,True,0.2015366554260254,400,0.07197811199408033,0.030557301248295678,2.355512727030987,housing,0.0,1.0,True
212,6,1.1891283746913905,0.815,0.0,0.9975,True,0.27980518341064453,400,0.000660764698642069,0.032986750465269894,0.020031215240123613,housing,0.0,1.0,True
1005,6,1.6608646996903451,1.0,0.0,1.0,False,0.22983884811401367,400,,,,housing,0.0,1.0,True
1468,6,1.6731366391209477,0.495,0.0,0.9925,True,0.22118663787841797,400,0.07820371556656358,0.04999397040738536,1.564262948697728,housing,0.0,1.0,True
56,6,2.620166676396049,0.605,0.0,1.0,True,0.17120790481567383,399,0.07436191672772008,0.05078076826466667,1.4643716365248693,housing,0.0,1.0,True
2433,6,1.0166942154799115,1.0,0.0,0.9975,False,0.3732109069824219,400,,,,housing,0.0,1.0,True
2522,5,1.0595528348328311,0.9825,0.0,0.9975,False,0.07975387573242188,399,,,,housing,0.0,1.0,True
2933,6,1.5786655035803614,0.4625,0.0,0.9925,True,0.4273662567138672,400,0.09875264272683815,0.04923005033507585,2.0059423472999782,housing,0.0,1.0,True
2733,6,1.208316740684782,1.0,0.0,0.9875,False,0.061434268951416016,400,,,,housing,0.0,1.0,True
1802,6,1.679792749218468,1.0,0.0,0.9975,False,0.13571405410766602,400,,,,housing,0.0,1.0,True
2521,6,0.9168509567542031,0.9725,0.0,1.0,True,0.10212850570678711,400,,,,housing,0.0,1.0,True
2829,6,1.255358626075532,0.8175,0.0,0.9925,True,0.14439630508422852,400,0.1023046580543916,0.029373984827105966,3.482832127018261,housing,0.0,1.0,True
2882,6,1.1173048498678297,1.0,0.0,1.0,False,0.0728144645690918,400,,,,housing,0.0,1.0,True
72,6,1.5619790390729926,0.62,0.0,0.98,True,0.05307149887084961,400,0.14854685418269842,0.0559784991395195,2.6536412455872336,housing,0.0,1.0,True
1780,6,1.332553884699408,1.0,0.0,0.9925,False,0.013370990753173828,400,,,,housing,0.0,1.0,True
1758,6,1.2001903290286575,0.9925,0.0,1.0,False,0.15900754928588867,400,,,,housing,0.0,1.0,True
2746,6,1.2568964366727806,1.0,0.0,1.0,False,0.1625194549560547,400,,,,housing,0.0,1.0,True
2544,6,1.2065723631474345,0.99,0.0,1.0,False,0.02512836456298828,400,,,,housing,0.0,1.0,True
2334,6,1.4110609060025188,0.9925,0.0,1.0,False,0.031670570373535156,400,,,,housing,0.0,1.0,True
1236,6,1.9079597894155493,0.77,0.0,1.0,True,0.3392181396484375,400,0.05219656393933203,0.04618472154723054,1.1301695060768855,housing,0.0,1.0,True
2473,6,0.9249829174719847,1.0,0.0,1.0,False,0.018058300018310547,400,,,,housing,0.0,1.0,True
1555,6,1.2909372265153283,0.7725,0.0,0.9975,True,0.3858513832092285,400,0.18892911972872906,0.0756126918298263,2.49864295472951,housing,0.0,1.0,True
2524,6,1.44854831359606,0.9975,0.0,0.9975,False,0.043498992919921875,399,,,,housing,0.0,1.0,True
2899,6,1.6019683711063828,0.1425,0.0,1.0,True,0.10556221008300781,400,0.0006835399079605509,0.05576022953785047,0.012258556207996934,housing,0.0,1.0,True
2531,6,0.9464632762420061,0.9675,0.0,1.0,True,0.18798494338989258,400,,,,housing,0.0,1.0,True
2885,6,2.9879486153758075,0.625,0.0,0.9925,True,0.07556533813476562,400,0.15724275143941213,0.058032834046738625,2.709548034700004,housing,0.0,1.0,True
988,6,1.2862211515777582,1.0,0.0,0.99,False,0.25655174255371094,400,,,,housing,0.0,1.0,True
2428,6,2.2290018238387583,0.445,0.0,0.99,True,0.04297208786010742,400,0.09643709430545844,0.06018594059601065,1.6023193016584782,housing,0.0,1.0,True
1103,6,1.839191645684699,0.995,0.0,0.9575,False,0.021934986114501953,400,,,,housing,0.0,1.0,True
741,6,1.5871628004829001,0.1325,0.0,1.0,True,0.040225982666015625,400,0.13445449069626036,0.047396537993832887,2.836799825205698,housing,0.0,1.0,True
1970,6,2.212415696653646,0.585,0.0,1.0,True,0.033452510833740234,400,0.06940216986701664,0.03924031400275101,1.7686446102890785,housing,0.0,1.0,True
1539,6,1.6425818971828527,1.0,0.0,0.995,False,0.02317333221435547,400,,,,housing,0.0,1.0,True
1720,6,0.9978869766804463,0.9225,0.0,0.9975,True,0.08998584747314453,400,0.07865256285248456,0.021849180885941795,3.599794576422369,housing,0.0,1.0,True
308,6,1.3347101462646207,1.0,0.0,1.0,False,0.02010202407836914,400,,,,housing,0.0,1.0,True
1444,6,1.9027809024721969,0.4525,0.0,0.995,True,0.13949346542358398,400,0.019603164068681345,0.05329637224416267,0.36781422905999756,housing,0.0,1.0,True
2377,5,1.4564823587422473,0.96,0.0,1.0,True,0.08038043975830078,400,,,,housing,0.0,1.0,True
1659,6,1.0546559735486376,1.0,0.0,1.0,False,0.0892648696899414,400,,,,housing,0.0,1.0,True
2448,6,2.7418876732877395,0.8475,0.0,0.99,True,0.05846452713012695,399,0.0032049306362855745,0.062432362171619876,0.05133444458621578,housing,0.0,1.0,True
557,5,1.4100707200233202,0.97,0.0,0.9925,True,0.1733846664428711,399,,,,housing,0.0,1.0,True
2743,6,1.263303347631352,0.995,0.0,1.0,False,0.28218555450439453,400,,,,housing,0.0,1.0,True
2516,6,1.1025385604504097,1.0,0.0,1.0,False,0.19611454010009766,400,,,,housing,0.0,1.0,True
1702,6,1.3151230500642361,0.995,0.0,1.0,False,0.07216978073120117,400,,,,housing,0.0,1.0,True
1479,6,1.3861753872806188,0.9,0.0,0.99,True,0.12963294982910156,400,0.09714801311492938,0.048213261293465946,2.0149645659439193,housing,0.0,1.0,True
2073,6,1.7815858606996622,0.16,0.0,0.9975,True,0.038594722747802734,400,0.003121778014159915,0.06143772235348379,0.05081207269043391,housing,0.0,1.0,True
1501,5,1.0788093264454452,1.0,0.0,1.0,False,0.33899097442626935,400,,,,housing,0.0,1.0,True
1968,5,1.1117626002591139,0.945,0.0,1.0,True,0.3460507392883301,400,0.20625481541309298,0.04373181951292991,4.716355681293136,housing,0.0,1.0,True
1250,6,1.3979740075690084,1.0,0.0,0.9975,False,0.25409297943115217,400,,,,housing,0.0,1.0,True
2620,6,1.4292554295740727,1.0,0.0,1.0,False,0.31225852966308576,400,,,,housing,0.0,1.0,True
603,6,1.2572711134623824,0.98,0.0,1.0,True,0.020493030548095703,400,,,,housing,0.0,1.0,True
2089,6,1.4413465374109582,0.47,0.0,0.9975,True,0.24739313125610352,400,0.16742516232034532,0.0524805485394878,3.1902327048729315,housing,0.0,1.0,True
2175,6,1.1103802963833116,0.9925,0.0,1.0,False,0.2082986831665039,400,,,,housing,0.0,1.0,True
307,6,1.0499426214037815,0.925,0.0,1.0,True,0.1770491600036621,400,0.07125159512769041,0.02114436232687594,3.3697679800503955,housing,0.0,1.0,True
2940,6,0.8391759780753207,0.9975,0.0,1.0,False,0.11334228515625,399,,,,housing,0.0,1.0,True
876,6,0.880148797355212,1.0,0.0,1.0,False,0.16121149063110352,400,,,,housing,0.0,1.0,True
2070,6,1.3479158385435084,0.9975,0.0,0.9975,False,0.14441967010498047,400,,,,housing,0.0,1.0,True
1696,6,1.7968799774210624,0.9725,0.0,1.0,True,0.32335805892944336,400,,,,housing,0.0,1.0,True
2639,6,2.2035119793111977,0.93,0.0,1.0,True,0.18044281005859375,400,0.21112091226328733,0.037496961552259775,5.630347194106559,housing,0.0,1.0,True
1861,6,0.9428172150492209,0.9975,0.0,0.9975,False,0.0304412841796875,400,,,,housing,0.0,1.0,True
2064,6,1.9146445913004062,1.0,0.0,0.9925,False,0.29746990203857404,400,,,,housing,0.0,1.0,True
2855,6,1.1634089069727684,0.975,0.0,0.9975,True,0.26769065856933594,400,,,,housing,0.0,1.0,True
1385,6,1.1974769416612125,0.8825,0.0,1.0,True,0.026935100555419922,400,0.08741270911664056,0.030840332739780516,2.8343633596367828,housing,0.0,1.0,True
1278,6,1.2305489537992624,1.0,0.0,1.0,False,0.02820110321044922,400,,,,housing,0.0,1.0,True
745,6,1.455041438185011,0.945,0.0,1.0,True,0.016891956329345703,399,0.013347853600491177,0.03352964401710633,0.3980911218049706,housing,0.0,1.0,True
