n_scales,p_min,flag,delta_med,delta_cv,pi_hat,z_hat,delta_at_pmin,pi_true_max,detectable,abstain,model,tau_obs,anchor,dist
3,0.9128,False,0.0083721176349266,0.3033298173049663,0.4993318593529401,0,,0.008,False,False,gated,0.005,0.02,0.48
3,0.861,False,0.0049043526453155,0.4528219813981868,0.451880985049041,1,,0.013,False,False,gated,0.005,0.0240167364016736,0.4759832635983264
3,0.95,False,0.0073360264076334,0.2283063162866467,0.5442232663472253,0,0.0090108875731701,0.008,False,False,gated,0.005,0.0280334728033472,0.4719665271966527
3,0.823,False,0.004926417283729,0.1354454281695075,0.4170693008421572,1,,0.013,False,False,gated,0.005,0.0320502092050209,0.467949790794979
3,0.948,False,0.0093904737303304,0.3541618914909759,0.7073012595666488,0,0.0060647257916461,0.012,False,False,gated,0.005,0.0360669456066945,0.4639330543933054
3,0.964,False,0.0059755968213232,0.0403928884919488,0.5064921437263576,0,,0.01,False,False,gated,0.005,0.0400836820083682,0.4599163179916318
3,0.7922,False,0.005656534851156,0.2629827189943405,0.5575099885939709,0,0.0041689639356497,0.013,False,False,gated,0.005,0.0441004184100418,0.4558995815899581
3,0.8028,False,0.00910513988172,0.2453266016353995,0.5458605718813927,0,0.0068714068568773,0.016,False,False,gated,0.005,0.0481171548117154,0.4518828451882845
3,0.9722,False,0.0036900697677887,0.5978257823761346,0.4535888883936386,0,,0.015,False,False,gated,0.005,0.0521338912133891,0.4478661087866109
3,0.4052,False,0.0049352736403447,0.955938873693608,0.4942649099703845,0,0.0002174537142678,0.011,False,False,gated,0.005,0.0561506276150627,0.4438493723849372
3,0.6772,False,0.0056840250314192,0.4736082971466037,0.2725559441035595,1,0.0029920236148764,0.013,False,False,gated,0.005,0.0601673640167364,0.4398326359832636
3,0.872,False,0.0073270906524545,0.2652816107544746,0.4016098871141971,0,0.005383348241762,0.011,False,False,gated,0.005,0.06418410041841,0.4358158995815899
3,0.8864,False,0.0037414563012854,0.4463424695068239,0.5055609785674707,0,0.0020714854557715,0.012,False,False,gated,0.005,0.0682008368200836,0.4317991631799163
3,0.9922,False,0.0063266673003043,0.5576870986047279,0.4829796369079054,0,0.0098549680314061,0.017,False,False,gated,0.005,0.0722175732217573,0.4277824267782427
3,0.7584,False,0.006482573714178,1.3454095217163906,0.3310501071920549,1,0.2219918858396824,0.021,False,False,gated,0.005,0.0762343096234309,0.423765690376569
3,0.7972,False,0.0049326617408025,0.2137478954653812,0.6241688958071296,1,0.0059870078071554,0.018,False,False,gated,0.005,0.0802510460251046,0.4197489539748954
3,0.936,False,0.0056737071215274,1.3294946206054306,0.4485464037505128,1,0.0037366802735316,0.016,False,False,gated,0.005,0.0842677824267782,0.4157322175732217
3,0.5484,False,0.0095023659967306,1.3081797456727742,0.4252574986876378,1,0.2263866024369923,0.028,False,False,gated,0.005,0.0882845188284519,0.4117154811715481
3,0.988,False,0.0086177699191038,0.341106159974749,0.5763758057748086,0,0.0056781955141113,0.019,False,False,gated,0.005,0.0923012552301255,0.4076987447698744
3,0.9356,False,0.0095768199198418,0.313840218459864,0.4853810034758252,1,,0.023,False,False,gated,0.005,0.0963179916317991,0.4036820083682008
3,0.9284,False,0.0077138019014258,0.3292538833871691,0.4935020686925152,0,0.0051740026693728,0.021,False,False,gated,0.005,0.1003347280334728,0.3996652719665272
3,0.781,False,0.0024977539099818,0.914394899115638,0.5139610230726893,0,0.0002138204745339,0.021,False,False,gated,0.005,0.1043514644351464,0.3956485355648536
3,0.607,False,0.0068373513903841,1.3058656769438908,0.4909274456656947,1,0.2267032902686203,0.03,False,False,gated,0.005,0.1083682008368201,0.3916317991631799
3,0.6242,False,0.0060209943566744,1.3263267306079247,0.4976304417999052,0,0.2278840411366623,0.019,False,False,gated,0.005,0.1123849372384937,0.3876150627615062
3,0.7376,False,0.0086859539019957,1.3124928255679775,0.6987379673218607,0,0.2290618556395443,0.024,False,False,gated,0.005,0.1164016736401673,0.3835983263598326
3,0.8988,False,0.0072606571743956,1.2898235973817724,0.4915026329228557,1,0.2302757352299085,0.024,False,False,gated,0.005,0.120418410041841,0.379581589958159
